DE,RO,EN
ich,eu,I
sie,ea,she
das,acea,that
ist,este,is
du,tu,you
nicht,nu,not
die,în,the
es,aceasta,it
und,și,and
der,în,the
wir,vreme,weather
was,Ce,What
zu,la,to
er,el,he
ein,unu,one
in,în,in
ja,da,Yes
mir,pe mine,me
mit,Cu,With
wie,Cum,how
den,în,the
mich,pe mine,me
auf,pe,on
dass,acea,that
aber,dar,but
eine,unu,one
so,asa de,so
hat,Are,has
hier,Aici,here
haben,a avea,to have
für,pentru,for
sind,sunt,are
war,a fost,was
von,din,from
wenn,dacă,if
dich,tu,you
ihr,a ei,her
nein,Nu,no
habe,avea,have
an,pe,on
bin,a.m,am
noch,încă,still
nur,numai,only
da,Acolo,there
dir,pentru tine,to you
sich,se,himself
einen,A,a
uns,S.U.A.,US
hast,avea,have
dem,la.,to the
kann,poate sa,can
gut,Bine,Well
auch,de asemenea,also
schon,frumos,beautiful
als,la fel de,as
sein,fiind,being
mal,doar,just
jetzt,acum,now
ihn,-l,him
dann,atunci,then
aus,Out.,out
meine,Ale mele,my
um,în jurul,around
im,în,in the
wird,voi,will
mein,Ale mele,my
bist,tu esti,are you
doch,într-adevăr,indeed
alles,Tot,everything
weiß,alb,White
keine,nici unul,none
oder,sau,or
nach,după,after
s,S.,s
nichts,Nimic,Nothing
man,unu,one
muss,mergi la,got to
werden,voi,will
will,vrei,want
ihnen,tu,you
geht,merge,goes
wo,Unde,Where
etwas,ceva,something
oh,Oh,Oh
mehr,Mai mult,more
bei,la,at
also,asa de,so
bitte,Cu plăcere,You're welcome
immer,mereu,always
hab,avea,have
warum,De ce,why
vor,inainte de,before
los,Haide,Come on
können,a fi capabil,be able
wieder,din nou,again
sagen,a zice,to say
machen,do,do
danke,mulțumesc,thank you
sehr,foarte,very
alle,Toata lumea,Everyone
denn,atunci,then
mann,soț,husband
tun,a face,to do
ihm,-l,him
zum,la.,to the
gehen,mers pe jos,walk
sehen,vedea,see
vielleicht,poate,perhaps
einem,A,a
wer,care,who
ihre,al lor,their
diese,acest,this
euch,tu,you
einer,A,a
komm,Veniți,come
über,peste,over
gibt,sunt,are
okay,O.K,OK
wissen,să știe,to know
deine,ta,your
müssen,trebuie să,have to
soll,ţintă,target
werde,deveni,become
nie,nu,never
wirklich,într-adevăr,really
hey,Hei,hey
kein,Nu,no
viel,mult,a lot
weg,cale,path
würde,artez,would
tut,face,does
am,la,at the
des,de,of
einfach,simplu,simple
leben,Viaţă,Life
hatte,a avut,had
zeit,timp,time
weil,deoarece,because
willst,vrei,want
kommen,Veniți,come
dein,ta,your
heute,astăzi,today
kommt,vine,comes
wollen,vrei,want
damit,pentru a,in order to
ganz,toate,all
wäre,artez,would
wollte,Wanted.,wanted
weißt,şoaptă,whisper
ok,O.K,OK
sicher,sigur,secure
gesagt,a spus,said
frau,D-na,Mrs
nun,bine,well
bis,pana cand,until
wurde,artez,would
leid,suferinţă,suffering
na,n / A,n / A
kannst,poate sa,can
macht,putere,power
dieser,acest,this
zurück,înapoi,back
lassen,părăsi,leave
hallo,Salut,Hi
meinen,gândi,think
gott,Dumnezeu,God
seine,a lui,his
hätte,a avut,had
zwei,Două,two
könnte,ar putea,could
genau,sunt de acord,I agree
waren,a fost,was
zur,la.,to the
lass,lăsa,let
klar,clar,clear
morgen,Mâine,tomorrow
leute,oameni,People
vater,Tată,father
schön,Grozav,Nice
glaube,credinţă,faith
mr.,Domnul.,mr.
ab,departe,away
gerade,doar,just
tag,Zi,Day
gesehen,văzut,seen
reden,vorbi,talk
wohl,bine,well
liebe,dragoste,love
sollte,ar trebui să,should
sagte,a spus,said
unsere,al nostru,our
jemand,cineva,someone
geld,bani,money
durch,prin,through
ob,dacă,if
keinen,nici unul,none
mutter,mamă,mother
raus,Out.,Out
gemacht,făcut,did
paar,pereche,pair
mach,inventa,make up
passiert,se întâmplă,happens
dachte,gând,thought
besser,mai bine,better
musst,trebuie sa,must
wieso,cum așa,how so
sir,domnule,sir
dieses,acest,this
selbst,de sine,self
gehört,auzit,heard
möchte,ar vrea,would like
ohne,fără,without
hör,auzi,hear
her,pe,on
sag,Spune,say
meiner,A mea,mine
anderen,alții,others
helfen,Ajutor,help
nacht,noapte,night
finden,Găsi,Find
diesen,acest,this
gute,calitate,quality
wirst,deveni,become
lange,Lung,Long
natürlich,Natural,Naturally
ach,Oh,Oh
meinem,Ale mele,my
gar,deloc,at all
ins,în,into the
sei,poate,may be
dort,Acolo,there
weiter,mai departe,further
geben,da,give
seit,de cand,since
gleich,la fel,same
sagt,spune,says
recht,lege,law
ihren,ta,your
richtig,corect,correct
ordnung,Ordin,order
vom,de la,from the
hören,Asculta,Listen
sieht,vede.,sees
davon,de care,of that
dafür,Prin urmare,Therefore
geh,merge,go
diesem,Acest,This
wegen,deoarece,because
hause,Acasă,home
sollten,ar trebui să,should
mädchen,fată,girl
hin,Acolo,there
sollen,ar trebui să,should
abend,ajun,Eve
haus,Casă,House
denke,gândi,think
viele,multe,lots
drei,Trei,three
deinen,a ta,yours
freund,Prieteni,friend
guten,bun,good
unser,al nostru,our
warte,aștepta,wait
machst,face,make
menschen,oameni,People
essen,masă,meal
angst,frică,fear
bleiben,rămâne,remain
zusammen,împreună,together
welt,lume,world
unter,sub,under
habt,avea,have
schnell,rapid,fast
andere,alte,other
tot,mort,dead
getan,făcut,did
darf,Mai,may
erst,primul,first
rein,pur,pure
stimmt,Dreapta,Right
nehmen,a lua,to take
kinder,copii,children
eines,unu,one
glauben,cred,believe
bringen,aduce,bring
ganze,întreg,whole
genug,suficient,enough
scheiße,rahat,crap
brauchen,a avea nevoie,to need
gegen,împotriva,against
moment,moment,moment
junge,Băiat,Boy
steht,standuri,stands
sonst,in caz contrar,otherwise
musik,muzică,music
arbeit,muncă,work
seid,sunt,are
ihrer,a lor,of their
fragen,întrebări,questions
herr,Domnule,Mister
dabei,inclus,included
heißt,se numește,is called
familie,familie,family
warten,aștepta,wait
niemand,nimeni,nobody
sofort,imediat,immediately
bevor,inainte de,before
jahre,ani,years
einmal,o singura data,once
problem,problemă,problem
sohn,fiu,son
wann,când,when
brauche,nevoie,need
fertig,Terminat,done
halt,Stop,stop
allein,singur,alone
beim,la,at the
sprechen,a vorbi,to speak
beide,ambii,both
gefunden,găsite,found
hatten,a avut,had
sache,materie,matter
hilfe,Ajutor,help
verdammt,La naiba,Damn it
ne,ne.,ne
jeder,toata lumea,everyone
warst,rău,wicked
gern,bucuros,gladly
konnte,ar putea,could
darüber,despre,about it
halten,a pastra,keep
siehst,vedea,see
verstehe,a intelege,understand
jahren,Ani,Years
kam,a venit,came
kind,copil,child
wusste,S-au cunoscut,knew
wahr,Adevărat,true
seinen,a lui,his
dazu,la,to
bruder,Frații,brothers
daran,la ea,to it
ihrem,A ta,Yours
denken,gândi,think
könnten,ar putea,could
dank,mulțumită,thanks to
würden,artez,would
lieber,mai degraba,rather
fall,caz,case
deiner,a ta,yours
sehe,vedea,see
egal,nu conteaza,no matter
kennen,Știi,know
deinem,ta,your
vergessen,a uita,forget
frage,cere,ask
mache,face,make
komme,Veniți,come
sage,legendă,legend
mag,ca,like
sieh,uite,look
echt,real,real
gib,da,give
eigentlich,de fapt,actually
